Response,Key,BIL_EXPOSURE_BEFORE_5
17625,17625,NO
748312,748312,NO
462897,462897,NO
261938,261938,NO
928736,928736,NO
431697,431697,NO
7419268,7439286,NO
4812693,4812693,NO
7456839,7456839,NO
2145973,21452973,NO
7358491,7358491,NO
54293718,54293700,NO
98742635,98742635,NO
72964138,7469138,NO
43697821,47983200,NO
24589731,24985731,NO
14,14,YES
83,83,YES
12,12,YES
85,85,YES
42,42,YES
195,195,YES
765,765,YES
549,549,YES
536,536,YES
927,927,YES
4231,4231,YES
5927,5927,YES
4395,4395,YES
7486,7486,YES
2196,2196,YES
54732,54732,YES
13257,13257,YES
57921,57921,YES
24819,24819,YES
36481,36481,YES
286793,286793,YES
519687,519687,YES
469821,468921,YES
421953,421953,YES
357864,357864,YES
4612987,4612987,YES
3256184,3256184,YES
5413728,5413782,YES
1796258,1796258,YES
6137845,6137845,YES
28471936,28471936,YES
19263587,19263587,YES
93458726,97453600,YES
21967845,21967845,YES
43971628,43971628,YES
857164293,857462913,YES
795413862,795432860,YES
591642387,59421638,YES
432198576,438401196,YES
384579261,348571246,YES
57,57,YES
28,28,YES
29,29,YES
93,93,YES
23,23,YES
548,548,YES
682,682,YES
863,863,YES
163,163,YES
184,184,YES
7518,7518,YES
4163,4163,YES
6538,6538,YES
9578,9578,YES
8519,8519,YES
52718,52718,YES
61289,61289,YES
96871,96871,YES
23745,23745,YES
28316,28316,YES
513824,513824,YES
528143,518423,YES
523786,523786,YES
276931,276931,YES
362198,362198,YES
4129583,4129583,YES
9731248,9731248,YES
8276543,8276543,YES
4752396,475132396,YES
9671425,9671425,YES
62947851,68247981,YES
32687154,32678134,YES
56497283,56497283,YES
79821436,79820436,YES
59834712,59834712,YES
68,68,NO
65,65,NO
58,58,NO
48,48,NO
59,59,NO
318,318,NO
158,158,NO
362,362,NO
826,826,NO
529,529,NO
8732,8732,NO
9536,9536,NO
5968,5968,NO
7948,7948,NO
5342,5342,NO
48352,48352,NO
83254,83254,NO
62941,62941,NO
37486,37486,NO
34297,34297,NO
231697,231697,NO
791268,791268,NO
216854,216854,NO
269318,269318,NO
649372,649372,NO
3159864,31958694,NO
8246395,8246395,NO
5641739,5641739,NO
8574261,8576000,NO
2369548,2356480,NO
78,78,YES
26,26,YES
18,18,YES
67,67,YES
34,34,YES
316,316,YES
642,642,YES
975,975,YES
613,613,YES
125,125,YES
3476,3476,YES
1827,1827,YES
4198,4198,YES
3452,3452,YES
8623,8623,YES
15286,15286,YES
57816,57816,YES
57382,57382,YES
97582,97582,YES
72361,72361,YES
718532,758132,YES
236984,236984,YES
247516,247516,YES
813426,813426,YES
382146,382146,YES
7692841,7698241,YES
5621437,5621437,YES
2465973,2465973,YES
7932458,7932458,YES
5869134,5869134,YES
41592386,41953286,YES
67149285,67419285,YES
86357194,86357913,YES
