Response,Key,BIL_EXPOSURE_BEFORE_5
417826935,417826935,YES
687925431,687925431,YES
594216873,594216873,YES
21,21,YES
27,27,YES
49,49,YES
83,83,YES
72,72,YES
574,574,YES
165,165,YES
619,619,YES
729,729,YES
682,682,YES
5971,5971,YES
7429,7429,YES
6783,6783,YES
2573,2573,YES
2547,2547,YES
59742,59742,YES
59714,59714,YES
95826,95826,YES
47592,47592,YES
25763,25763,YES
785639,785639,YES
145738,145738,YES
827491,827491,YES
165498,165498,YES
918376,918376,YES
9812734,9812734,YES
9241583,9241583,YES
9815426,9815426,YES
4189732,4189732,YES
6571483,6571483,YES
53469217,5436972,YES
23476851,23476851,YES
17352689,17352689,YES
43618792,43678192,YES
62931574,629714385,YES
29,29,NO
98,98,NO
23,23,NO
32,32,NO
52,52,NO
134,134,NO
948,948,NO
842,842,NO
968,968,NO
627,627,NO
9637,9637,NO
4527,4527,NO
6291,6291,NO
2836,2836,NO
8725,8725,NO
15426,15426,NO
23489,23480,NO
82137,82137,NO
31569,31569,NO
27813,27893,NO
153698,159380,NO
721956,721956,NO
426735,426735,NO
752348,752380,NO
749652,764962,NO
27,27,YES
21,21,YES
78,78,YES
25,25,YES
85,85,YES
196,196,YES
549,549,YES
853,853,YES
256,256,YES
769,769,YES
1369,1369,YES
2736,2736,YES
8142,8142,YES
4817,4817,YES
1864,1864,YES
72465,72465,YES
53927,53927,YES
61985,61985,YES
54179,54179,YES
96435,96435,YES
562138,562138,YES
678945,678945,YES
763852,763852,YES
871236,873126,YES
287459,287459,YES
4128736,2841276,YES
6539812,6539812,YES
4719652,4719652,YES
5798324,5789314,YES
6978312,6987312,YES
89,89,NO
68,68,NO
51,51,NO
95,95,NO
79,79,NO
981,981,NO
365,365,NO
385,385,NO
295,295,NO
965,965,NO
4789,4789,NO
5479,5479,NO
1652,1652,NO
2314,2314,NO
1367,1367,NO
78239,78239,NO
64275,64275,NO
43982,43982,NO
85371,85371,NO
61897,61897,NO
265371,265371,NO
253761,253761,NO
859427,859427,NO
864137,864137,NO
395872,395872,NO
3962481,3962481,NO
9862173,9862173,NO
6157982,6157982,NO
7539428,7439428,NO
4392178,4382178,NO
62418937,62418937,NO
87531962,87531962,NO
61853427,61853207,NO
15673498,15673498,NO
71534682,71534682,NO
439571682,439571682,NO
925467183,925467183,NO
796281534,796281543,NO
391584627,394628007,NO
924753861,93700000,NO
92,92,YES
69,69,YES
72,72,YES
73,73,YES
37,37,YES
467,467,YES
427,427,YES
952,952,YES
416,416,YES
426,426,YES
8236,8236,YES
4857,4857,YES
4192,4192,YES
8527,8527,YES
3512,3512,YES
57928,57928,YES
58692,58692,YES
72631,72631,YES
53218,53218,YES
51862,51862,YES
763524,763514,YES
539642,539624,YES
915876,915876,YES
132987,132987,YES
285719,285791,YES
72,72,YES
53,53,YES
98,98,YES
84,84,YES
37,37,YES
392,392,YES
185,185,YES
723,723,YES
537,537,YES
319,319,YES
2473,2473,YES
3972,3972,YES
6759,6759,YES
6439,6439,YES
7628,7628,YES
92436,92436,YES
56871,56871,YES
93241,93241,YES
91256,91256,YES
89146,89146,YES
791246,791246,YES
736825,736825,YES
832591,832591,YES
984723,984723,YES
891625,891625,YES
2615879,215678,YES
9251378,925178,YES
3579418,3579418,YES
2195847,2159847,YES
9842736,984273,YES
75,75,YES
35,35,YES
24,24,YES
38,38,YES
98,98,YES
738,738,YES
926,926,YES
385,385,YES
793,793,YES
413,413,YES
3127,3127,YES
3758,3758,YES
8349,8349,YES
9287,9287,YES
3184,3184,YES
52798,52798,YES
43267,42367,YES
27456,27456,YES
42895,2895,YES
53241,53241,YES
217956,217956,YES
781359,781359,YES
398461,398461,YES
752849,752849,YES
865734,865734,YES
9256173,9256193,YES
3624187,3624187,YES
7529341,7538421,YES
2716598,2916518,YES
8736915,8736951,YES
51,51,NO
32,32,NO
19,19,NO
91,91,NO
64,64,NO
359,359,NO
469,469,NO
194,194,NO
483,483,NO
619,619,NO
7439,7439,NO
8731,8731,NO
7129,7129,NO
9251,9251,NO
3974,3974,NO
82375,82375,NO
64859,64859,NO
52874,52874,NO
47195,47195,NO
27469,27469,NO
741295,742195,NO
135624,135624,NO
153692,1543692,NO
874329,874329,NO
241568,241568,NO
5917438,5917438,NO
5138962,5138691,NO
7681435,7681435,NO
5189264,5189264,NO
6871923,6871923,NO
61375428,61374528,NO
52683417,54683197,NO
93267415,932674581,NO
73689254,73689254,NO
91368754,9168547,NO
56,56,YES
25,25,YES
34,34,YES
92,92,YES
29,29,YES
164,164,YES
387,387,YES
831,831,YES
895,895,YES
537,537,YES
8374,8374,YES
4378,4378,YES
2781,2781,YES
3265,3265,YES
2986,2986,YES
58294,58294,YES
76349,76349,YES
94518,94518,YES
53672,53672,YES
69423,69423,YES
496735,496735,YES
213875,213875,YES
376214,376214,YES
439216,439216,YES
483157,483157,YES
4826937,4826937,YES
9168742,9168742,YES
1726349,1726349,YES
4613298,46916329,YES
1793548,1793548,YES
59342178,5932478,YES
79481256,7945986,YES
47562189,47125978,YES
82941357,8941732,YES
83627195,48129759,YES
81,81,YES
79,79,YES
68,68,YES
52,52,YES
59,59,YES
134,134,YES
972,972,YES
923,923,YES
681,681,YES
385,385,YES
1678,1678,YES
7564,7564,YES
4619,4619,YES
9261,9261,YES
5718,5718,YES
75624,75624,YES
69274,69274,YES
64821,64821,YES
63794,63794,YES
15872,15872,YES
168249,168429,YES
749368,749368,YES
417652,417652,YES
541869,541869,YES
673954,673954,YES
7215349,7215349,YES
7451639,7451639,YES
9173856,9173856,YES
9824756,982475,YES
9573648,9563480,YES
83427956,83257960,YES
18527643,18520623,YES
28354691,23746500,YES
42678593,4267928,YES
71423569,71423569,YES
29,29,YES
15,15,YES
78,78,YES
49,49,YES
53,53,YES
395,395,YES
372,372,YES
142,142,YES
953,953,YES
147,147,YES
1547,1547,YES
4752,4752,YES
5936,5936,YES
1283,1283,YES
7638,7638,YES
81734,81734,YES
24615,24615,YES
78521,78521,YES
42861,42861,YES
83169,83169,YES
831297,831297,YES
732159,732159,YES
957842,957842,YES
573198,573198,YES
829645,829645,YES
5816732,5876132,YES
9465732,9465732,YES
8631425,8631425,YES
4768529,4768529,YES
2965837,2965837,YES
58762913,58702913,YES
36745891,36745891,YES
67235498,67235498,YES
75936814,75390048,YES
36452198,36452198,YES
841395762,841395732,YES
927164358,927100438,YES
759328416,75932416,YES
237958461,237950436,YES
398142756,394207056,YES
63,63,NO
24,24,NO
39,39,NO
59,59,NO
95,95,NO
426,426,NO
243,243,NO
931,931,NO
712,712,NO
658,658,NO
5248,5248,NO
9716,9716,NO
5968,5968,NO
6735,6735,NO
1895,1895,NO
39864,38964,NO
43816,43816,NO
79315,79315,NO
98351,98351,NO
59813,59813,NO
672485,672485,NO
453126,453126,NO
976531,975431,NO
183594,18359,NO
951736,951076,NO
98,98,YES
84,84,YES
51,51,YES
23,23,YES
82,82,YES
327,327,YES
234,234,YES
129,129,YES
132,132,YES
736,736,YES
4378,4378,YES
1782,1782,YES
2784,2784,YES
2634,2634,YES
5124,5124,YES
32547,32547,YES
14879,14879,YES
76193,76193,YES
73862,73862,YES
49618,49618,YES
964712,964712,YES
612347,612347,YES
492651,492651,YES
914573,914573,YES
861253,861453,YES
4812576,4815760,YES
1932648,1932468,YES
8391576,8391576,YES
4281693,4281693,YES
5731849,5738490,YES
83,83,YES
84,84,YES
79,79,YES
68,68,YES
54,54,YES
427,427,YES
149,149,YES
978,978,YES
197,197,YES
493,493,YES
9873,9873,YES
4268,4268,YES
7492,7492,YES
8164,8164,YES
5723,5723,YES
41528,41528,YES
73284,73284,YES
69145,69145,YES
48163,48163,YES
63798,63798,YES
923165,932165,YES
792658,792658,YES
835972,835972,YES
986731,986731,YES
629435,6294835,YES
9725463,9725463,YES
2687543,2687543,YES
6918253,6918253,YES
1957483,1987483,YES
7652138,7652183,YES
12647938,12647893,YES
28516437,28176543,YES
48251379,482507009,YES
41862973,4182697,YES
42653871,426538947,YES
65,65,NO
71,71,NO
97,97,NO
96,96,NO
16,16,NO
152,152,NO
432,432,NO
764,764,NO
731,731,NO
143,143,NO
5816,5816,NO
6279,6279,NO
8359,8359,NO
1549,1549,NO
3569,3569,NO
53184,53814,NO
95123,95123,NO
98527,98527,NO
71624,71624,NO
71829,71829,NO
493258,493258,NO
713658,713658,NO
612387,613287,NO
286471,286471,NO
149527,149527,NO
9184237,9184327,NO
5691873,5691873,NO
4615938,4619008,NO
4312587,4312587,NO
3419628,3419628,NO
35176928,351798,NO
92345867,9234587,NO
98316247,98316247,NO
17826349,1700349,NO
19327456,19327496,NO
25,25,YES
45,45,YES
52,52,YES
53,53,YES
94,94,YES
625,625,YES
812,812,YES
324,324,YES
726,726,YES
694,694,YES
3619,3619,YES
2856,2856,YES
1968,1968,YES
9385,9385,YES
3815,3815,YES
73694,73694,YES
79368,79368,YES
96312,96312,YES
82935,82935,YES
67139,67139,YES
931587,931587,YES
783456,783456,YES
946831,946831,YES
649172,649172,YES
368592,368592,YES
1462395,1462395,YES
7532491,7532491,YES
3756984,3795084,YES
9345218,934518,YES
4812657,4812657,YES
82746153,8276153,YES
67924518,67924518,YES
94821537,94821537,YES
56971823,71982,YES
35182674,35182674,YES
276854913,20780513,YES
291764583,297165437,YES
629134875,34691827,YES
412693785,412693785,YES
149865723,149865723,YES
89,89,YES
56,56,YES
74,74,YES
16,16,YES
62,62,YES
936,936,YES
581,581,YES
627,627,YES
576,576,YES
278,278,YES
1264,1264,YES
7289,7289,YES
5327,5327,YES
7698,7698,YES
7325,7325,YES
78436,78436,YES
94836,94836,YES
28579,28579,YES
65231,65231,YES
67314,67314,YES
652184,652184,YES
578624,578624,YES
176958,176598,YES
586934,586934,YES
734526,734526,YES
6947128,6947128,YES
9134872,9134872,YES
4269538,4269538,YES
3864752,3864752,YES
5739162,5730162,YES
35481679,35481679,YES
91723465,91723465,YES
97631284,97631284,YES
59814763,59814763,YES
91563742,91563742,YES
913462857,92348167,YES
348275916,348275916,YES
745283196,745283496,YES
168359247,168359412,YES
785962134,785962413,YES
25,25,NO
95,95,NO
96,96,NO
42,42,NO
96,96,NO
317,317,NO
931,931,NO
162,162,NO
789,789,NO
162,162,NO
4867,4867,NO
8354,8354,NO
4937,4937,NO
2384,2384,NO
8316,8316,NO
63491,63491,NO
41782,41782,NO
26473,26473,NO
39154,39154,NO
31975,39157,NO
137568,317568,NO
487936,487396,NO
765329,765329,NO
874913,874913,NO
945367,945367,NO
4721368,4723168,NO
2453698,2453698,NO
7861293,7681039,NO
7658391,768319,NO
2396748,132678,NO
73,73,NO
18,18,NO
82,82,NO
36,36,NO
24,24,NO
529,529,NO
389,389,NO
826,826,NO
293,293,NO
823,823,NO
7513,7513,NO
6483,6483,NO
5196,5196,NO
8746,8746,NO
2736,2736,NO
65712,65712,NO
57963,57963,NO
65498,65498,NO
39862,39862,NO
63914,63914,NO
295861,295861,NO
513487,513487,NO
246897,246897,NO
786152,786152,NO
967845,967845,NO
7842561,7842561,NO
6927581,6927581,NO
6479512,6479512,NO
8193642,8193642,NO
1456729,1456729,NO
17423869,17423869,NO
75832614,75832614,NO
92865347,92865347,NO
48761325,48761325,NO
89674513,89674513,NO
249651378,249651378,NO
374695821,374695821,NO
497281536,497281536,NO
718263459,718263459,NO
634519782,134569782,NO
25,25,YES
87,87,YES
42,42,YES
61,61,YES
26,26,YES
852,852,YES
456,456,YES
165,165,YES
416,416,YES
942,942,YES
5149,5149,YES
5962,5962,YES
6751,6751,YES
7654,7654,YES
2179,2179,YES
82369,82369,YES
82397,82397,YES
14238,14238,YES
16384,16384,YES
51784,51784,YES
753629,753629,YES
815932,815932,YES
725689,725689,YES
963542,963542,YES
319274,319274,YES
8549637,8594367,YES
1932864,1832964,YES
6753482,6734582,YES
2578391,2478391,YES
9823741,9823714,YES
56,56,NO
91,91,NO
62,62,NO
79,79,NO
28,28,NO
195,195,NO
342,342,NO
234,234,NO
589,589,NO
321,321,NO
4862,4862,NO
4952,4952,NO
7629,7629,NO
2967,2967,NO
4637,4637,NO
38172,38172,NO
68329,68329,NO
14653,14653,NO
13578,13578,NO
26578,26578,NO
486259,486259,NO
654238,654238,NO
426983,426983,NO
648912,648912,NO
967125,967125,NO
9418765,9167500,NO
4863719,4863719,NO
7285364,725834,NO
7285914,7258914,NO
7425836,7425836,NO
65,65,YES
72,72,YES
12,12,YES
57,57,YES
71,71,YES
364,364,YES
964,964,YES
941,941,YES
157,157,YES
946,946,YES
3829,3829,YES
3472,3472,YES
8549,8549,YES
8942,8942,YES
8723,8723,YES
28735,28735,YES
87924,87924,YES
65893,65893,YES
17432,17432,YES
49753,49753,YES
269374,269374,YES
817436,817436,YES
976481,976481,YES
946278,946278,YES
251897,259870,YES
4192653,41926513,YES
2813964,2813964,YES
6923541,6923541,YES
3897651,3897651,YES
8435796,8437960,YES
34182567,341825600,YES
41359728,41359728,YES
28397615,28317659,YES
53427189,534127089,YES
68542739,68542739,YES
46,46,YES
92,92,YES
52,52,YES
96,96,YES
94,94,YES
917,917,YES
784,784,YES
438,438,YES
187,187,YES
759,759,YES
5974,5974,YES
5137,5137,YES
1964,1964,YES
3416,3416,YES
3684,3684,YES
49217,49217,YES
51832,51382,YES
84762,84762,YES
19384,19384,YES
16475,16475,YES
573629,573629,YES
785641,785641,YES
895147,895147,YES
687459,687459,YES
596281,596281,YES
3452178,3452178,YES
1638495,1638495,YES
4852976,48529876,YES
7521683,7521683,YES
3674298,3674298,YES
37142958,37142958,YES
26439715,37279415,YES
19345628,19345628,YES
36529718,36529178,YES
63159748,63159578,YES
53,53,YES
62,62,YES
87,87,YES
84,84,YES
13,13,YES
173,173,YES
198,198,YES
491,491,YES
745,745,YES
172,172,YES
8375,8375,YES
7368,7368,YES
8146,8146,YES
4968,4968,YES
7964,7964,YES
75814,75814,YES
56312,56312,YES
45632,45632,YES
86312,83612,YES
96532,96532,YES
135926,139526,YES
643718,643718,YES
371582,371582,YES
396482,396482,YES
297513,297513,YES
3168574,3165874,YES
1459863,4159863,YES
3169425,3169425,YES
1836527,1836527,YES
2315784,2315784,YES
69147528,6144728,YES
57198324,57198372,YES
19285437,19285437,YES
23546917,23546917,YES
21587693,21587693,YES
581947362,581947386,YES
672145389,672543312,YES
968257341,962457342,YES
143265789,143282567,YES
839754612,837764132,YES
42,42,YES
15,15,YES
16,16,YES
26,26,YES
16,16,YES
128,128,YES
981,981,YES
548,548,YES
732,732,YES
985,985,YES
3695,3695,YES
1924,1924,YES
3751,3751,YES
4152,4152,YES
4913,4913,YES
59378,59378,YES
94167,59176,YES
27493,27493,YES
24635,24635,YES
67593,67593,YES
638542,63842,YES
634918,63490,YES
763481,64381,YES
561824,650001,YES
267918,267918,YES
63,63,NO
59,59,NO
69,69,NO
89,89,NO
89,89,NO
562,562,NO
689,689,NO
713,713,NO
763,763,NO
873,873,NO
4132,4132,NO
3829,3829,NO
6732,6732,NO
1427,1427,NO
1326,1326,NO
53187,53187,NO
41983,41893,NO
98726,98726,NO
52196,52196,NO
73652,76352,NO
519263,596123,NO
476198,47619,NO
421687,421678,NO
351867,351876,NO
917285,971285,NO
38,38,YES
84,84,YES
62,62,YES
86,86,YES
75,75,YES
537,537,YES
367,367,YES
862,862,YES
423,423,YES
295,295,YES
4138,4138,YES
2967,2967,YES
5463,5463,YES
1629,1629,YES
5624,5624,YES
41635,41635,YES
24837,24837,YES
89145,89145,YES
67259,67259,YES
15834,15834,YES
178542,178542,YES
163548,163548,YES
456728,456728,YES
148395,148395,YES
194568,194568,YES
1264358,143568,YES
1657923,1657923,YES
1623478,1623478,YES
6897145,6897145,YES
5241873,5241873,YES
49681523,49681523,YES
41629873,41629873,YES
85942763,85942763,YES
87346251,87346251,YES
85423196,85423196,YES
326971584,326871584,YES
957312468,957312468,YES
629817534,629817524,YES
624573189,624573180,YES
534829716,534829716,YES
24,24,YES
75,75,YES
92,92,YES
48,48,YES
91,91,YES
648,648,YES
281,281,YES
281,281,YES
845,845,YES
263,263,YES
6132,6132,YES
9781,9781,YES
9815,9815,YES
3186,3186,YES
5249,5249,YES
41283,41283,YES
69387,69387,YES
73458,73458,YES
34921,34921,YES
85691,85691,YES
513674,513674,YES
195234,195234,YES
925816,925016,YES
872134,876132,YES
867934,876934,YES
74,74,YES
84,84,YES
71,71,YES
94,94,YES
83,83,YES
461,461,YES
658,658,YES
274,274,YES
372,372,YES
356,356,YES
7526,7526,YES
4956,4956,YES
9285,9285,YES
2175,2175,YES
6451,6451,YES
89531,89531,YES
39618,39618,YES
43691,43691,YES
75162,75162,YES
76159,76159,YES
351976,3519716,YES
145976,145976,YES
261543,261543,YES
529684,529684,YES
624397,624397,YES
1784692,1746892,YES
6572418,6572418,YES
7236145,7236145,YES
1796235,7296235,YES
9312465,9312465,YES
35497218,35497218,YES
54279318,54279318,YES
32715948,32719548,YES
67512398,67512398,YES
38465712,384571632,YES
871934265,3719460000,YES
428159376,42815796,YES
721984536,728943576,YES
197426835,197428315,YES
437891526,4378915236,YES
34,34,YES
29,29,YES
26,26,YES
51,51,YES
73,73,YES
759,759,YES
127,127,YES
463,463,YES
697,697,YES
375,375,YES
2594,2594,YES
9786,9786,YES
5387,5387,YES
4975,4975,YES
9213,9213,YES
32598,32598,YES
73198,73198,YES
53498,53498,YES
46813,46813,YES
12435,12435,YES
831265,831265,YES
987562,987562,YES
368549,368549,YES
465328,465328,YES
786392,786392,YES
5981264,5981264,YES
8364291,8346291,YES
7385916,735891,YES
1628543,1628000,YES
8647395,864579,YES
25,25,NO
56,56,NO
13,13,NO
19,19,NO
15,15,NO
261,261,NO
974,974,NO
532,532,NO
928,928,NO
682,682,NO
3786,3786,NO
3714,3714,NO
9128,9128,NO
7324,7324,NO
2987,2987,NO
45673,45673,NO
79465,7945,NO
38972,38972,NO
19374,19374,NO
28617,28617,NO
459631,459631,NO
697215,697125,NO
231786,231786,NO
241683,241683,NO
374286,374286,NO
3694851,3869518,NO
5786213,5786213,NO
8217346,8217346,NO
4569187,4569187,NO
7485236,7485236,NO
62379458,62379478,NO
98643271,98764327,NO
13728645,1372468,NO
54821736,54872153,NO
94631827,9463182,NO
86,86,NO
39,39,NO
74,74,NO
32,32,NO
78,78,NO
586,586,NO
712,712,NO
523,523,NO
234,234,NO
823,823,NO
8163,8163,NO
8742,8742,NO
6475,6475,NO
2357,2357,NO
9134,9134,NO
38691,38691,NO
13492,13492,NO
36248,36248,NO
73641,73641,NO
69452,69452,NO
482659,482659,NO
968241,968241,NO
547192,547192,NO
419837,419837,NO
647192,647192,NO
9526743,9526742,NO
2536918,2536718,NO
1328596,13285936,NO
9578624,95785624,NO
6142573,6142573,NO
14,14,NO
16,16,NO
36,36,NO
34,34,NO
63,63,NO
316,316,NO
367,367,NO
826,826,NO
145,145,NO
874,874,NO
7316,7316,NO
2167,2167,NO
1428,1428,NO
4531,4531,NO
9234,9234,NO
78594,78594,NO
76235,76235,NO
32894,32894,NO
16395,16395,NO
89237,89237,NO
642598,642598,NO
465973,496753,NO
487659,478695,NO
815432,815432,NO
712968,719386,NO
32,32,NO
96,96,NO
46,46,NO
71,71,NO
19,19,NO
257,257,NO
293,293,NO
587,587,NO
951,951,NO
594,594,NO
8695,8695,NO
3514,3514,NO
7165,7165,NO
9846,9846,NO
7931,7931,NO
38574,38574,NO
54691,54691,NO
29461,29461,NO
34592,34592,NO
62345,62345,NO
396872,396872,NO
716348,716348,NO
135798,135798,NO
843751,843751,NO
451728,451728,NO
9573261,9573261,NO
8623517,8623517,NO
1578394,1578934,NO
1597648,1957648,NO
7428963,7892463,NO
42,42,NO
92,92,NO
91,91,NO
98,98,NO
27,27,NO
527,527,NO
389,389,NO
571,571,NO
841,841,NO
718,718,NO
7465,7465,NO
5713,5713,NO
1479,1479,NO
6154,6154,NO
8476,8476,NO
27385,27385,NO
46271,46271,NO
79165,79165,NO
25389,25389,NO
23897,23897,NO
976541,976541,NO
728413,728413,NO
475231,475231,NO
298765,298765,NO
234867,234867,NO
8764129,8764129,NO
5493876,5493876,NO
5943286,5493286,NO
3641528,3641528,NO
1856243,1856243,NO
49685712,49165196,NO
76194283,73194283,NO
63795184,63795184,NO
46512973,46512973,NO
97154236,97154236,NO
523678149,523468568,NO
384629571,384529684,NO
694125873,629125683,NO
365942178,365142968,NO
741236859,741236781,NO
